treat,lninc,gender,age,age2,hukou,fedu,medu,party
0,,0,45,2025,1,0,0,0
1,,0,20,400,1,6,12,0
0,,0,46,2116,1,12,0,1
0,,1,63,3969,1,0,0,0
0,6.1092477,1,67,4489,1,3,3,0
0,,1,61,3721,1,3,0,0
1,,0,19,361,1,12,12,0
1,,1,24,576,1,14,12,0
0,,0,36,1296,1,12,12,0
0,,1,62,3844,1,6,6,0
1,,0,30,900,1,12,9,0
0,7.6009026,0,54,2916,1,6,0,1
0,6.9077554,0,68,4624,1,0,0,0
0,6.9077554,0,42,1764,1,6,0,0
0,8.5171928,1,49,2401,1,9,6,1
0,,1,44,1936,1,6,0,0
0,6.6846118,1,49,2401,1,,6,0
0,,1,18,324,1,12,12,0
0,6.9077554,0,57,3249,1,6,0,1
1,7.6009026,0,45,2025,1,9,6,1
0,6.5510802,1,37,1369,1,9,12,0
0,7.1701198,0,24,576,1,9,,0
1,7.6009026,0,24,576,1,9,9,0
1,8.0063677,0,24,576,1,12,12,0
0,6.9077554,0,45,2025,1,9,0,0
1,6.6200733,0,57,3249,1,0,0,1
1,,1,19,361,1,9,9,0
1,7.3132205,0,45,2025,1,9,9,0
1,7.3132205,1,67,4489,1,19,6,0
1,8.2940493,1,25,625,1,16,12,0
0,6.6846118,1,54,2916,1,6,0,0
1,7.8240461,1,45,2025,1,12,12,0
0,7.3132205,0,42,1764,1,9,6,0
0,7.3132205,0,44,1936,1,6,9,0
0,6.9077554,0,36,1296,1,6,6,0
1,6.2146082,0,20,400,1,12,12,0
1,5.7037826,0,19,361,1,12,12,0
0,6.2146082,1,54,2916,1,9,0,0
0,6.6846118,1,31,961,1,6,0,0
1,7.3132205,1,37,1369,1,6,0,0
0,,1,41,1681,1,0,0,0
0,,0,31,961,1,6,0,0
0,,0,54,2916,1,9,9,0
1,,0,26,676,1,12,12,1
1,,0,19,361,1,12,12,0
1,,1,23,529,1,12,12,0
1,,1,23,529,1,12,12,0
0,,0,24,576,1,12,12,0
0,,1,67,4489,1,,,0
0,,1,44,1936,1,9,12,0
1,8.2940493,0,47,2209,1,14,14,0
