id,age,gender,lnincm,lnfincm,isco08,manage,dwtype,tizhi,party,hukou,wide,nwtop,edu,listening,speaking,book,newsp,eread,isei08,siops08,ht,wt,rd1,rd2,rd3
2489,44,0,8.3351116,9.0281391,2330,3,2,1,0,1,5,69,16,2,1,1,.01369863,2,82.410004,62.630001,158,120,.70737755,1.4811833,2.204248
9546,33,0,5.5254531,7.4191809,7223,3,6,0,0,0,6,69,9,1,1,.25,0,2,28.700001,37.869999,160,160,.68681407,1.9487965,.36199075
8396,59,1,6.7266331,8.3351116,9210,3,11,0,0,0,3,43,9,1,1,0,0,0,11.74,22.16,168,145,.16804637,1.7192149,5.956255
9161,56,0,6.7266331,8.3351116,9210,3,11,0,0,1,6,69,9,1,1,0,0,0,11.74,22.16,163,100,.10284676,1.0194671,1.2755365
9433,67,1,6.0346837,7.8244457,9210,3,11,0,0,0,1,69,6,1,1,0,0,0,11.74,22.16,173,130,.12384421,1.7556553,5.4906998
2764,32,1,8.5173931,8.5173931,9311,3,6,0,0,0,7,69,12,1,1,4.1666665,.15342465,5,15.35,18.02,169,178,.38297653,1.5177636,2.4223223
13495,50,1,6.7266331,7.4191809,9313,3,9,0,0,0,0,0,6,1,1,0,0,0,15.35,15,158,110,.2371732,1.2861576,1.093869
10338,60,1,8.3351116,9.3645763,3352,3,1,1,1,1,5,69,9,1,1,0,0,3,67.110001,52,170,130,.67735517,1.102698,7.5065575
4961,74,0,8.0712185,8.8248253,7531,3,3,1,0,1,2,40,9,1,1,0,0,0,23.469999,38.57,153,126,.34434319,1.1103328,4.862113
7797,30,1,8.3351116,9.0281391,9210,3,11,0,0,0,7,69,9,1,1,0,0,1,11.74,22.16,168,140,.41887861,1.0429134,2.4153106
4712,61,0,7.1316986,7.8244457,9200,3,12,0,0,0,1,48,0,1,1,0,0,0,11.87,22.280001,154,110,.86219323,1.3069907,9.7225924
7488,44,0,7.4191809,7.8244457,1113,3,5,0,1,1,4,69,12,2,2,2.5,.05479452,1,64.980003,42,158,110,.23555103,1.8519582,7.521822
7441,66,0,6.9887209,7.8244457,9210,3,11,0,0,0,5,69,6,1,1,0,0,0,11.74,22.16,150,105,.26823774,1.9170591,5.524303
6458,25,1,9.0281391,9.0281391,2423,2,6,0,0,1,10,85,16,4,4,.83333331,.1369863,.5,68.550003,55.799999,171,130,.44775355,1.5805609,9.1512318
6497,70,0,0,10.637481,2211,3,9,0,0,0,1,16,3,1,1,0,0,0,88.699997,78.010002,160,130,.52811152,1.5529073,4.7303572
8470,86,1,8.8538084,8.9227915,3359,2,1,1,1,1,7,85,6,1,1,1,1,0,64.400002,54.639999,170,160,.62477946,1.1143167,4.7357383
8095,70,0,7.8244457,11.107475,4311,3,3,1,0,1,2,69,6,1,2,0,0,1.6666666,50.369999,34,155,95,.47955033,1.5163559,4.2989082
3606,68,0,0,6.2166061,9611,3,9,0,0,1,10,85,6,1,1,0,0,0,14.39,13,155,150,.3469241,1.6668313,6.9359565
13417,78,1,7.8636513,7.8636513,2300,3,2,1,1,1,4,69,12,1,1,0,0,0,75.540001,63.18,167,144,.21778411,1.9126523,2.132585
6237,76,0,7.4191809,8.3351116,7536,3,2,1,0,1,7,85,6,1,1,.41666666,0,0,18.07,27.370001,160,135,.092683099,1.8538997,6.485507
8304,20,1,7.8244457,9.0281391,9622,3,6,0,0,0,6,69,12,3,3,0,0,2,27.91,22.879999,170,160,.23956996,1.3155353,6.6388302
13297,25,1,7.4191809,8.6715155,5223,3,6,0,0,1,1,48,14,2,2,.41666666,.01369863,2.1666667,28.48,42.779999,179,130,.10606693,1.2467945,7.9466558
9301,69,0,0,7.8244457,9200,3,12,0,0,0,0,0,6,1,1,0,0,0,11.87,22.280001,158,105,.81560379,1.1412344,9.6264591
3092,28,0,7.4191809,7.8244457,5223,3,6,0,0,0,3,40,12,3,3,0,.02739726,1,28.48,42.779999,150,90,.62392545,1.9962809,6.2943354
13241,20,1,0,8.5173931,7543,3,6,0,0,0,9,85,14,2,2,0,0,.5,43.189999,38.810001,170,130,.18673639,1.5179286,2.9392464
